Filename,Datetime,Temperature,Average Brightness
000100.jpg,2024-09-17 18:23:44,89,104.75838838465073
000101.jpg,2024-09-17 18:23:45,89,104.83787339154412
000102.jpg,2024-09-17 18:23:46,89,104.85264964384191
000103.jpg,2024-09-18 11:04:17,68,86.96264361213235
000104.jpg,2024-09-18 11:04:19,68,87.28086655560662
000105.jpg,2024-09-18 11:04:19,68,87.34335363051471
000106.jpg,2024-09-18 11:04:19,68,87.28086655560662
000107.jpg,2024-09-18 11:04:17,68,86.96264361213235
000108.jpg,2024-09-18 11:04:12,68,86.20204647288602
000109.jpg,2024-09-18 11:04:17,68,86.96264361213235
000110.jpg,2024-09-18 11:04:19,68,87.28086655560662
000111.jpg,2024-09-18 11:04:19,68,87.34335363051471
000112.jpg,2024-09-18 11:04:20,68,87.17617474724264
000113.jpg,2024-09-18 11:04:21,68,86.91129509420956
000114.jpg,2024-09-18 11:04:22,68,86.53897202435662
000115.jpg,2024-09-18 12:01:31,73,103.52910587086397
000116.jpg,2024-09-19 12:01:38,,96.31703383501838
000117.jpg,2024-09-20 12:01:31,66,106.37585018382353
000118.jpg,2024-09-21 12:01:31,64,97.67481474034926
000119.jpg,2024-09-22 12:01:31,64,106.71742302389706
000120.jpg,2024-09-22 15:16:07,66,104.678515625
000121.jpg,2024-09-22 15:16:08,66,103.57640739889706
000122.jpg,2024-09-22 15:16:09,66,103.36853601792279
000123.jpg,2024-09-22 15:16:10,66,103.51355124080882
000124.jpg,2024-09-22 15:16:11,66,103.70421214384191
000125.jpg,2024-09-22 15:16:12,66,103.50024844898897
000126.jpg,2024-09-22 15:16:16,66,103.96675235523897
000127.jpg,2024-09-22 15:16:16,66,103.83800551470588
000128.jpg,2024-09-22 15:16:17,66,104.65051125919118
000129.jpg,2024-09-22 15:16:18,66,106.07215791590073
000130.jpg,2024-09-22 15:16:19,66,106.82408662683824
000131.jpg,2024-09-22 15:16:20,66,107.29711196001838
000132.jpg,2024-09-23 12:01:31,62,101.90444766773896
000133.jpg,2024-09-24 12:01:37,62,108.87445858226103
000134.jpg,2024-09-25 12:01:31,59,99.08823098575368
